sort,plot,subplot,watered,date,recruits,survivors,density,richness,shannon,simpson
62,1,21,wet,3,1,3,4,3,1.039720771,0.625
63,1,21,wet,4,1,2,3,3,1.098612289,0.666666667
64,1,22,wet,1,0,0,0,0,,
65,1,22,wet,3,8,0,8,5,1.386294361,0.6875
66,1,22,wet,4,1,8,9,6,1.58109375,0.740740741
67,1,23,wet,1,14,0,14,9,1.799958798,0.746666667
68,1,23,wet,3,0,9,9,6,1.497866137,0.7
69,1,23,wet,4,0,9,9,6,1.497866137,0.7
70,1,24,wet,1,5,0,5,5,1.494175138,0.75
71,1,24,wet,3,1,5,6,6,1.676987774,0.790123457
72,1,24,wet,4,0,6,6,6,1.676987774,0.790123457
73,2,1,dry,1,6,0,6,9,2.163955657,0.88
74,2,1,dry,3,6,5,11,10,2.204785417,0.875739645
75,2,1,dry,4,1,10,11,10,2.138397246,0.852071006
76,2,2,dry,1,4,0,4,4,1.242453325,0.666666667
77,2,2,dry,3,4,3,7,5,1.303092404,0.641975309
78,2,2,dry,4,1,2,3,5,1.609437912,0.8
79,2,3,dry,1,9,0,9,7,1.831020481,0.814814815
80,2,3,dry,3,0,8,8,6,1.667461933,0.78125
81,2,3,dry,4,0,6,6,5,1.560710409,0.777777778
82,2,4,dry,1,6,0,6,6,1.64341772,0.78
83,2,4,dry,3,4,6,10,8,1.932806573,0.836734694
84,2,4,dry,4,1,8,9,8,1.951259504,0.840236686
85,2,5,dry,1,12,0,12,10,2.153532457,0.862222222
86,2,5,dry,3,1,11,12,10,2.153532457,0.862222222
87,2,5,dry,4,0,10,10,10,2.204785417,0.875739645
88,2,6,dry,1,1,0,1,2,0.693147181,0.5
89,2,6,dry,3,1,1,2,3,1.098612289,0.666666667
90,2,6,dry,4,2,2,4,5,1.609437912,0.8
91,2,7,dry,1,2,0,2,3,1.098612289,0.666666667
92,2,7,dry,3,1,1,2,3,1.098612289,0.666666667
93,2,7,dry,4,0,3,3,4,1.386294361,0.75
94,2,8,dry,1,2,0,2,2,0.693147181,0.5
95,2,8,dry,3,0,2,2,2,0.693147181,0.5
96,2,8,dry,4,0,2,2,2,0.693147181,0.5
97,2,9,dry,1,8,0,8,7,1.889159164,0.839506173
98,2,9,dry,3,0,5,5,5,1.560710409,0.777777778
99,2,9,dry,4,1,5,6,6,1.747868097,0.816326531
100,2,10,dry,1,2,0,2,2,0.693147181,0.5
101,2,10,dry,3,0,2,2,2,0.693147181,0.5
102,2,10,dry,4,0,1,1,1,0,0
103,2,11,dry,1,2,0,2,2,0.636514168,0.444444444
104,2,11,dry,3,0,1,1,2,0.693147181,0.5
105,2,11,dry,4,0,1,1,2,0.693147181,0.5
106,2,12,dry,1,2,0,2,3,1.098612289,0.666666667
107,2,12,dry,3,2,1,3,4,1.386294361,0.75
108,2,12,dry,4,0,1,1,2,0.693147181,0.5
109,2,13,dry,1,2,0,2,2,0.693147181,0.5
110,2,13,dry,3,0,2,2,2,0.693147181,0.5
111,2,13,dry,4,1,2,3,3,1.098612289,0.666666667
112,2,14,dry,1,4,0,4,4,1.386294361,0.75
113,2,14,dry,3,5,4,9,5,1.303092404,0.641975309
114,2,14,dry,4,2,5,7,6,1.747868097,0.816326531
115,2,15,dry,1,4,0,4,5,1.609437912,0.8
116,2,15,dry,3,2,4,6,6,1.747868097,0.816326531
117,2,15,dry,4,1,2,3,4,1.386294361,0.75
118,2,16,dry,1,11,0,11,11,2.36938212,0.902777778
119,2,16,dry,3,8,9,17,13,2.366289318,0.87654321
120,2,16,dry,4,2,12,14,11,2.171570897,0.844444444
121,2,17,dry,1,4,0,4,4,1.386294361,0.75
122,2,17,dry,3,0,3,3,3,1.098612289,0.666666667
123,2,17,dry,4,1,3,4,4,1.386294361,0.75
124,2,18,dry,1,7,0,7,6,1.747868097,0.816326531
125,2,18,dry,3,1,5,6,6,1.791759469,0.833333333
126,2,18,dry,4,0,3,3,3,1.098612289,0.666666667
127,2,19,dry,1,4,0,4,3,1.039720771,0.625
128,2,19,dry,3,1,3,4,4,1.386294361,0.75
129,2,19,dry,4,0,4,4,4,1.386294361,0.75
130,2,20,dry,1,1,0,1,1,0,0
131,2,20,dry,3,1,1,2,2,0.693147181,0.5
132,2,20,dry,4,0,2,2,2,0.693147181,0.5
133,2,21,dry,1,2,0,2,2,0.693147181,0.5
134,2,21,dry,3,3,2,5,3,0.950270539,0.56
135,2,21,dry,4,2,4,6,2,0.450561209,0.277777778
136,2,22,dry,1,3,0,3,4,1.386294361,0.75
137,2,22,dry,3,0,2,2,4,1.386294361,0.75
138,2,22,dry,4,0,1,1,3,1.098612289,0.666666667
139,2,23,dry,1,4,0,4,6,1.747868097,0.816326531
140,2,23,dry,3,1,4,5,6,1.732867951,0.8125
141,2,23,dry,4,0,4,4,6,1.747868097,0.816326531
142,2,24,dry,1,9,0,9,8,1.973001406,0.84
143,2,24,dry,3,0,7,7,7,1.906154747,0.84375
144,2,24,dry,4,1,5,6,6,1.747868097,0.816326531
145,3,1,dry,1,4,0,4,6,1.791759469,0.833333333
146,3,1,dry,3,1,3,4,6,1.791759469,0.833333333
147,3,1,dry,4,0,4,4,6,1.791759469,0.833333333
148,3,2,dry,1,5,0,5,4,1.33217904,0.72
149,3,2,dry,3,3,5,8,7,1.906154747,0.84375
150,3,2,dry,4,3,6,9,9,2.197224577,0.888888889
151,3,3,dry,1,5,0,5,5,1.609437912,0.8
152,3,3,dry,3,2,5,7,6,1.747868097,0.816326531
153,3,3,dry,4,0,6,6,5,1.560710409,0.777777778
154,3,4,dry,1,14,0,14,7,1.72982013,0.785714286
155,3,4,dry,3,2,9,11,7,1.893788232,0.842975207
156,3,4,dry,4,1,8,9,6,1.735126457,0.814814815
157,3,5,dry,1,0,0,0,0,,
158,3,5,dry,3,0,0,0,0,,
159,3,5,dry,4,2,0,2,2,0.693147181,0.5
160,3,6,dry,1,6,0,6,4,1.329661349,0.722222222
161,3,6,dry,3,1,3,4,2,0.562335145,0.375
162,3,6,dry,4,1,3,4,2,0.562335145,0.375
163,3,7,dry,1,4,0,4,2,0.562335145,0.375
164,3,7,dry,3,1,3,4,2,0.562335145,0.375
165,3,7,dry,4,0,4,4,2,0.562335145,0.375
166,3,8,dry,1,8,0,8,5,1.386294361,0.6875
167,3,8,dry,3,1,7,8,5,1.386294361,0.6875
168,3,8,dry,4,1,6,7,6,1.747868097,0.816326531
169,3,9,dry,1,7,0,7,6,1.747868097,0.816326531
170,3,9,dry,3,0,7,7,6,1.747868097,0.816326531
171,3,9,dry,4,0,7,7,6,1.747868097,0.816326531
172,3,10,dry,1,6,0,6,6,1.747868097,0.816326531
173,3,10,dry,3,1,5,6,6,1.747868097,0.816326531
174,3,10,dry,4,0,2,2,3,1.098612289,0.666666667
175,3,11,dry,1,1,0,1,1,0,0
176,3,11,dry,3,0,1,1,1,0,0
177,3,11,dry,4,0,1,1,1,0,0
178,3,12,dry,1,2,0,2,3,1.098612289,0.666666667
179,3,12,dry,3,2,1,3,3,1.098612289,0.666666667
180,3,12,dry,4,1,3,4,4,1.33217904,0.72
181,3,13,dry,1,3,0,3,4,1.386294361,0.75
182,3,13,dry,3,0,3,3,4,1.386294361,0.75
183,3,13,dry,4,0,3,3,4,1.386294361,0.75
184,3,14,dry,1,10,0,10,7,1.83437197,0.82
185,3,14,dry,3,1,5,6,4,1.329661349,0.722222222
186,3,14,dry,4,1,7,8,6,1.732867951,0.8125
187,3,15,dry,1,10,0,10,12,2.45831133,0.911242604
188,3,15,dry,3,2,9,11,12,2.441015278,0.908163265
189,3,15,dry,4,3,11,14,14,2.599301927,0.921875
190,3,16,dry,1,2,0,2,3,1.098612289,0.666666667
191,3,16,dry,3,1,1,2,3,1.098612289,0.666666667
192,3,16,dry,4,1,1,2,3,1.098612289,0.666666667
193,3,17,dry,1,4,0,4,5,1.609437912,0.8
194,3,17,dry,3,16,3,19,7,1.259200473,0.555
195,3,17,dry,4,0,11,11,7,1.589026915,0.708333333
196,3,18,dry,1,3,0,3,2,0.636514168,0.444444444
197,3,18,dry,3,1,2,3,3,1.098612289,0.666666667
198,3,18,dry,4,0,2,2,2,0.693147181,0.5
199,3,19,dry,1,4,0,4,4,1.386294361,0.75
200,3,19,dry,3,1,2,3,3,1.098612289,0.666666667
201,3,19,dry,4,2,3,5,5,1.609437912,0.8
202,3,20,dry,1,8,0,8,7,1.906154747,0.84375
203,3,20,dry,3,1,7,8,7,1.906154747,0.84375
204,3,20,dry,4,4,6,10,8,2.025326221,0.86
205,3,21,dry,1,6,0,6,6,1.747868097,0.816326531
206,3,21,dry,3,0,5,5,5,1.560710409,0.777777778
207,3,21,dry,4,3,3,6,5,1.475076311,0.734693878
208,3,22,dry,1,8,0,8,6,1.497866137,0.7
209,3,22,dry,3,0,7,7,6,1.58109375,0.740740741
210,3,22,dry,4,2,4,6,5,1.386294361,0.6875
211,3,23,dry,1,3,0,3,3,1.098612289,0.666666667
212,3,23,dry,3,0,3,3,3,1.098612289,0.666666667
213,3,23,dry,4,0,3,3,3,1.098612289,0.666666667
214,3,24,dry,1,5,0,5,5,1.609437912,0.8
215,3,24,dry,3,4,5,9,5,1.427061043,0.716049383
216,3,24,dry,4,2,7,9,5,1.522955068,0.765432099
217,4,1,wet,1,4,0,4,4,1.386294361,0.75
218,4,1,wet,3,1,2,3,3,1.098612289,0.666666667
219,4,1,wet,4,0,2,2,3,1.098612289,0.666666667
220,4,2,wet,1,6,0,6,5,1.494175138,0.75
221,4,2,wet,3,0,4,4,5,1.560710409,0.777777778
222,4,2,wet,4,1,3,4,4,1.33217904,0.72
223,4,3,wet,1,2,0,2,3,1.098612289,0.666666667
224,4,3,wet,3,0,2,2,3,1.098612289,0.666666667
225,4,3,wet,4,1,2,3,4,1.386294361,0.75
226,4,4,wet,1,18,0,18,11,1.995921785,0.786703601
227,4,4,wet,3,4,16,20,13,2.238941109,0.843537415
228,4,4,wet,4,4,12,16,11,2.119280922,0.830449827
229,4,5,wet,1,3,0,3,2,0.636514168,0.444444444
230,4,5,wet,3,2,3,5,3,0.950270539,0.56
231,4,5,wet,4,1,5,6,3,0.867563228,0.5
232,4,6,wet,1,4,0,4,6,1.747868097,0.816326531
233,4,6,wet,3,1,4,5,7,1.906154747,0.84375
234,4,6,wet,4,2,2,4,6,1.747868097,0.816326531
235,4,7,wet,1,5,0,5,6,1.747868097,0.816326531
236,4,7,wet,3,0,5,5,6,1.747868097,0.816326531
237,4,7,wet,4,1,4,5,5,1.549826046,0.775510204
238,4,8,wet,1,12,0,12,7,1.844621476,0.828402367
239,4,8,wet,3,4,10,14,10,2.211068871,0.88
240,4,8,wet,4,4,9,13,9,2.044931175,0.846938776
241,4,9,wet,1,6,0,6,5,1.559581156,0.78125
242,4,9,wet,3,1,6,7,5,1.522955068,0.765432099
243,4,9,wet,4,0,8,8,6,1.695742534,0.8
244,4,10,wet,1,9,0,9,7,1.889159164,0.839506173
245,4,10,wet,3,5,8,13,10,2.204785417,0.875739645
246,4,10,wet,4,1,10,11,10,2.271868513,0.892561983
247,4,11,wet,1,9,0,9,4,0.885574152,0.446280992
248,4,11,wet,3,0,8,8,3,0.63903186,0.34
249,4,11,wet,4,2,8,10,3,0.566085739,0.291666667
250,4,12,wet,1,28,0,28,5,0.766334693,0.348888889
251,4,12,wet,3,5,27,32,7,1.021830323,0.444636678
252,4,12,wet,4,0,31,31,6,0.935878929,0.421875
253,4,13,wet,1,10,0,10,4,0.940447989,0.48
254,4,13,wet,3,2,10,12,5,1.098612289,0.527777778
255,4,13,wet,4,1,5,6,4,1.242453325,0.666666667
256,4,14,wet,1,3,0,3,3,1.098612289,0.666666667
257,4,14,wet,3,2,2,4,4,1.386294361,0.75
258,4,14,wet,4,2,3,5,4,1.33217904,0.72
259,4,15,wet,1,15,0,15,7,1.680046629,0.7734375
260,4,15,wet,3,8,13,21,10,2.059858233,0.847107438
261,4,15,wet,4,3,17,20,9,2.07049304,0.861678005
262,4,16,wet,1,7,0,7,4,1.213007566,0.65625
263,4,16,wet,3,3,7,10,5,1.468139939,0.743801653
264,4,16,wet,4,1,5,6,6,1.791759469,0.833333333
265,4,17,wet,1,40,0,40,2,0.116906849,0.04875
266,4,17,wet,3,5,32,37,1,0,0
267,4,17,wet,4,3,32,35,2,0.129740695,0.055510204
268,4,18,wet,1,3,0,3,3,1.039720771,0.625
269,4,18,wet,3,0,3,3,3,1.039720771,0.625
270,4,18,wet,4,0,2,2,3,1.098612289,0.666666667
271,4,19,wet,1,19,0,19,7,1.556718193,0.71468144
272,4,19,wet,3,1,18,19,7,1.556718193,0.71468144
273,4,19,wet,4,4,15,19,8,1.48322096,0.637119114
274,4,20,wet,1,7,0,7,5,1.549826046,0.775510204
275,4,20,wet,3,0,7,7,5,1.549826046,0.775510204
276,4,20,wet,4,0,7,7,5,1.549826046,0.775510204
277,4,21,wet,1,4,0,4,3,1.039720771,0.625
278,4,21,wet,3,0,4,4,3,1.039720771,0.625
279,4,21,wet,4,2,4,6,4,1.329661349,0.722222222
280,4,22,wet,1,9,0,9,8,2.043191871,0.864197531
281,4,22,wet,3,0,8,8,7,1.906154747,0.84375
282,4,22,wet,4,1,9,10,8,2.025326221,0.86
283,4,23,wet,1,7,0,7,4,1.153741943,0.612244898
284,4,23,wet,3,3,6,9,4,1.149059697,0.617283951
285,4,23,wet,4,0,9,9,4,1.149059697,0.617283951
286,4,24,wet,1,12,0,12,7,1.389715455,0.613333333
287,4,24,wet,3,6,11,17,8,1.328515191,0.56
288,4,24,wet,4,5,14,19,6,0.901741233,0.392561983
289,5,1,wet,1,5,0,5,5,1.560710409,0.777777778
290,5,1,wet,3,0,5,5,5,1.560710409,0.777777778
291,5,1,wet,4,3,4,7,6,1.667461933,0.78125
292,5,2,wet,1,5,0,5,5,1.475076311,0.734693878
293,5,2,wet,3,1,3,4,3,0.950270539,0.56
294,5,2,wet,4,1,3,4,4,1.386294361,0.75
295,5,3,wet,1,3,0,3,3,1.098612289,0.666666667
296,5,3,wet,3,4,2,6,5,1.560710409,0.777777778
297,5,3,wet,4,0,2,2,2,0.693147181,0.5
298,5,4,wet,1,10,0,10,6,1.285293024,0.591715976
299,5,4,wet,3,2,9,11,7,1.45080502,0.642857143
300,5,4,wet,4,0,9,9,6,1.349792396,0.625
301,5,5,wet,1,2,0,2,4,1.386294361,0.75
302,5,5,wet,3,1,2,3,6,1.791759469,0.833333333
303,5,5,wet,4,2,2,4,6,1.791759469,0.833333333
304,5,6,wet,1,2,0,2,3,1.098612289,0.666666667
305,5,6,wet,3,1,2,3,4,1.386294361,0.75
306,5,6,wet,4,2,3,5,6,1.791759469,0.833333333
307,5,7,wet,1,2,0,2,2,0.693147181,0.5
308,5,7,wet,3,0,1,1,1,0,0
309,5,7,wet,4,0,1,1,1,0,0
310,5,8,wet,1,1,0,1,1,0,0
311,5,8,wet,3,3,0,3,2,0.636514168,0.444444444
312,5,8,wet,4,1,1,2,2,0.693147181,0.5
313,5,9,wet,1,4,0,4,5,1.609437912,0.8
314,5,9,wet,3,1,3,4,4,1.33217904,0.72
315,5,9,wet,4,1,3,4,4,1.33217904,0.72
316,5,10,wet,1,3,0,3,4,1.386294361,0.75
317,5,10,wet,3,0,1,1,2,0.693147181,0.5
318,5,10,wet,4,0,1,1,2,0.693147181,0.5
319,5,11,wet,1,2,0,2,2,0.693147181,0.5
320,5,11,wet,3,1,2,3,3,1.098612289,0.666666667
321,5,11,wet,4,0,2,2,2,0.693147181,0.5
322,5,12,wet,1,5,0,5,4,1.33217904,0.72
323,5,12,wet,3,0,4,4,4,1.386294361,0.75
324,5,12,wet,4,0,3,3,3,1.098612289,0.666666667
325,5,13,wet,1,6,0,6,6,1.747868097,0.816326531
326,5,13,wet,3,0,6,6,6,1.747868097,0.816326531
327,5,13,wet,4,0,5,5,4,1.33217904,0.72
328,5,14,wet,1,7,0,7,5,1.549826046,0.775510204
329,5,14,wet,3,1,7,8,6,1.732867951,0.8125
330,5,14,wet,4,3,5,8,5,1.494175138,0.75
331,5,15,wet,1,8,0,8,4,1.213007566,0.65625
332,5,15,wet,3,3,5,8,4,1.213007566,0.65625
333,5,15,wet,4,3,6,9,5,1.464816385,0.740740741
334,5,16,wet,1,11,0,11,8,1.893788232,0.809917355
335,5,16,wet,3,3,10,13,10,2.204785417,0.875739645
336,5,16,wet,4,1,11,12,9,2.094729048,0.861111111
337,5,17,wet,1,5,0,5,5,1.560710409,0.777777778
338,5,17,wet,3,3,5,8,6,1.735126457,0.814814815
339,5,17,wet,4,1,7,8,6,1.735126457,0.814814815
340,5,18,wet,1,2,0,2,2,0.693147181,0.5
341,5,18,wet,3,1,2,3,3,1.039720771,0.625
342,5,18,wet,4,0,1,1,2,0.693147181,0.5
343,5,19,wet,1,9,0,9,5,1.227529411,0.6
344,5,19,wet,3,0,7,7,4,1.073542846,0.5625
345,5,19,wet,4,6,7,13,8,1.772139388,0.765306122
346,5,20,wet,1,2,0,2,3,1.098612289,0.666666667
347,5,20,wet,3,0,2,2,3,1.098612289,0.666666667
348,5,20,wet,4,0,1,1,1,0,0
349,5,21,wet,1,3,0,3,2,0.636514168,0.444444444
350,5,21,wet,3,1,2,3,2,0.636514168,0.444444444
351,5,21,wet,4,1,2,3,1,0,0
352,5,22,wet,1,8,0,8,7,1.906154747,0.84375
353,5,22,wet,3,1,5,6,6,1.791759469,0.833333333
354,5,22,wet,4,0,3,3,3,1.098612289,0.666666667
355,5,23,wet,1,1,0,1,1,0,0
356,5,23,wet,3,1,1,2,2,0.693147181,0.5
357,5,23,wet,4,0,1,1,1,0,0
358,5,24,wet,1,6,0,6,5,1.560710409,0.777777778
359,5,24,wet,3,1,4,5,4,1.33217904,0.72
360,5,24,wet,4,1,6,7,5,1.549826046,0.775510204
361,6,1,dry,1,5,0,5,5,1.609437912,0.8
362,6,1,dry,3,0,5,5,5,1.609437912,0.8
363,6,1,dry,4,3,4,7,5,1.549826046,0.775510204
364,6,2,dry,1,10,0,10,5,1.227529411,0.6
365,6,2,dry,3,1,6,7,5,1.386294361,0.6875
366,6,2,dry,4,0,6,6,4,1.153741943,0.612244898
367,6,3,dry,1,5,0,5,4,1.33217904,0.72
368,6,3,dry,3,0,4,4,4,1.386294361,0.75
369,6,3,dry,4,0,5,5,4,1.33217904,0.72
370,6,4,dry,1,9,0,9,9,2.09827374,0.859504132
371,6,4,dry,3,3,8,11,8,1.935600505,0.833333333
372,6,4,dry,4,5,7,12,7,1.631345421,0.733727811
373,6,5,dry,1,4,0,4,4,1.386294361,0.75
374,6,5,dry,3,1,4,5,6,1.747868097,0.816326531
375,6,5,dry,4,3,4,7,7,1.889159164,0.839506173
376,6,6,dry,1,29,0,29,6,0.718800861,0.3
377,6,6,dry,3,6,24,30,6,0.701390108,0.291363163
378,6,6,dry,4,0,27,27,6,0.756619976,0.318877551
379,6,7,dry,1,8,0,8,5,1.470808476,0.74
380,6,7,dry,3,6,6,12,6,1.468060203,0.693877551
381,6,7,dry,4,2,9,11,6,1.626020692,0.769230769
382,6,8,dry,1,4,0,4,3,1.039720771,0.625
383,6,8,dry,3,0,1,1,1,0,0
384,6,8,dry,4,0,1,1,1,0,0
385,6,9,dry,1,3,0,3,3,1.098612289,0.666666667
386,6,9,dry,3,2,3,5,3,1.054920168,0.64
387,6,9,dry,4,0,0,0,0,,
388,6,10,dry,1,0,0,0,0,,
389,6,10,dry,3,5,0,5,5,1.609437912,0.8
390,6,10,dry,4,1,5,6,5,1.560710409,0.777777778
391,6,11,dry,1,7,0,7,5,1.494175138,0.75
392,6,11,dry,3,0,6,6,4,1.277034259,0.693877551
393,6,11,dry,4,1,4,5,5,1.560710409,0.777777778
394,6,12,dry,1,26,0,26,2,0.163023629,0.073964497
395,6,12,dry,3,2,23,25,2,0.167944148,0.0768
396,6,12,dry,4,3,18,21,2,0.191444082,0.090702948
397,6,13,dry,1,6,0,6,6,1.791759469,0.833333333
398,6,13,dry,3,1,5,6,7,1.945910149,0.857142857
399,6,13,dry,4,0,5,5,6,1.791759469,0.833333333
400,6,14,dry,1,14,0,14,7,1.333473039,0.5859375
401,6,14,dry,3,4,15,19,10,1.676889874,0.675
402,6,14,dry,4,0,11,11,6,1.349792396,0.625
403,6,15,dry,1,4,0,4,4,1.386294361,0.75
404,6,15,dry,3,0,1,1,1,0,0
405,6,15,dry,4,0,1,1,1,0,0
406,6,16,dry,1,42,0,42,10,1.010585234,0.389135802
407,6,16,dry,3,3,30,33,8,0.953296143,0.387345679
408,6,16,dry,4,1,31,32,8,0.973236926,0.396734694
409,6,17,dry,1,9,0,9,6,1.676987774,0.790123457
410,6,17,dry,3,4,7,11,6,1.539654447,0.736111111
411,6,17,dry,4,1,9,10,6,1.64341772,0.78
412,6,18,dry,1,17,0,17,5,0.871781482,0.401384083
413,6,18,dry,3,3,12,15,3,0.485094091,0.24
414,6,18,dry,4,2,12,14,3,0.509137344,0.255102041
415,6,19,dry,1,2,0,2,4,1.33217904,0.72
416,6,19,dry,3,0,2,2,4,1.33217904,0.72
417,6,19,dry,4,1,0,1,4,1.386294361,0.75
418,6,20,dry,1,4,0,4,4,1.386294361,0.75
419,6,20,dry,3,1,4,5,5,1.609437912,0.8
420,6,20,dry,4,3,3,6,4,1.242453325,0.666666667
421,6,21,dry,1,9,0,9,4,1.002718265,0.518518519
422,6,21,dry,3,1,6,7,3,0.79631164,0.448979592
423,6,21,dry,4,0,3,3,3,1.098612289,0.666666667
424,6,22,dry,1,7,0,7,5,1.475076311,0.734693878
425,6,22,dry,3,1,5,6,5,1.560710409,0.777777778
426,6,22,dry,4,0,5,5,4,1.33217904,0.72
427,6,23,dry,1,1,0,1,1,0,0
428,6,23,dry,3,0,0,0,0,,
429,6,23,dry,4,1,0,1,1,0,0
430,6,24,dry,1,5,0,5,7,1.945910149,0.857142857
431,6,24,dry,3,1,3,4,6,1.791759469,0.833333333
432,6,24,dry,4,1,4,5,7,1.945910149,0.857142857
433,7,1,dry,1,1,0,1,1,0,0
434,7,1,dry,3,1,0,1,1,0,0
435,7,1,dry,4,1,1,2,2,0.693147181,0.5
436,7,2,dry,1,3,0,3,3,1.039720771,0.625
437,7,2,dry,3,1,3,4,4,1.33217904,0.72
438,7,2,dry,4,1,3,4,4,1.33217904,0.72
439,7,3,dry,1,8,0,8,7,1.889159164,0.839506173
440,7,3,dry,3,2,7,9,6,1.676987774,0.790123457
441,7,3,dry,4,0,6,6,6,1.747868097,0.816326531
442,7,4,dry,1,3,0,3,1,0,0
443,7,4,dry,3,10,3,13,2,0.271189373,0.142011834
444,7,4,dry,4,3,10,13,2,0.271189373,0.142011834
445,7,5,dry,1,10,0,10,6,1.497866137,0.7
446,7,5,dry,3,1,8,9,6,1.58109375,0.740740741
447,7,5,dry,4,9,6,15,5,0.949593668,0.444444444
448,7,6,dry,1,2,0,2,4,1.386294361,0.75
449,7,6,dry,3,0,2,2,4,1.386294361,0.75
450,7,6,dry,4,0,2,2,4,1.386294361,0.75
451,7,7,dry,1,4,0,4,4,1.33217904,0.72
452,7,7,dry,3,1,4,5,5,1.609437912,0.8
453,7,7,dry,4,2,4,6,5,1.560710409,0.777777778
454,7,8,dry,1,2,0,2,2,0.636514168,0.444444444
455,7,8,dry,3,1,1,2,3,1.098612289,0.666666667
456,7,8,dry,4,3,1,4,2,0.500402424,0.32
457,7,9,dry,1,3,0,3,2,0.636514168,0.444444444
458,7,9,dry,3,0,1,1,1,0,0
459,7,9,dry,4,0,0,0,0,,
460,7,10,dry,1,2,0,2,2,0.693147181,0.5
461,7,10,dry,3,1,2,3,3,1.098612289,0.666666667
462,7,10,dry,4,0,3,3,3,1.098612289,0.666666667
463,7,11,dry,1,3,0,3,3,1.098612289,0.666666667
464,7,11,dry,3,2,3,5,4,1.33217904,0.72
465,7,11,dry,4,1,5,6,5,1.560710409,0.777777778
466,7,12,dry,1,4,0,4,4,1.386294361,0.75
467,7,12,dry,3,0,3,3,3,1.098612289,0.666666667
468,7,12,dry,4,1,2,3,3,1.098612289,0.666666667
469,7,13,dry,1,4,0,4,4,1.33217904,0.72
470,7,13,dry,3,0,2,2,2,0.636514168,0.444444444
471,7,13,dry,4,0,2,2,2,0.636514168,0.444444444
